groups: 38  (all verified associative, latin, with identity)
stage 1 = S-ring filter (cheap) | stage 2 = real 2-WL | stage 3 = exact Aut_e
  Z2^3       n=  8 |S|=  4 S=[1, 4, 5, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[2, 4, 5, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 2, 4, 5, 6]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  4 S=[3, 4, 5, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 3, 4, 5, 6]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  5 S=[2, 3, 4, 5, 6]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  6 S=[1, 2, 3, 4, 5, 6]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z2^3       n=  8 |S|=  3 S=[1, 2, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  3 S=[1, 3, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  3 S=[2, 3, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 2, 3, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  3 S=[1, 4, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  3 S=[2, 4, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 2, 4, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Z2^3       n=  8 |S|=  4 S=[1, 3, 4, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[2, 3, 4, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 2, 3, 4, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  3 S=[1, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 2, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  3 S=[3, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 3, 5, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Z2^3       n=  8 |S|=  4 S=[2, 3, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 2, 3, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  3 S=[4, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 4, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[2, 4, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 2, 4, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  4 S=[3, 4, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 3, 4, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  5 S=[2, 3, 4, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  6 S=[1, 2, 3, 4, 5, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z2^3       n=  8 |S|=  3 S=[2, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 2, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  3 S=[3, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 3, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[2, 3, 6, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Z2^3       n=  8 |S|=  5 S=[1, 2, 3, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  3 S=[4, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 4, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[2, 4, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 2, 4, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  4 S=[3, 4, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 3, 4, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  5 S=[2, 3, 4, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  6 S=[1, 2, 3, 4, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z2^3       n=  8 |S|=  3 S=[5, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[1, 5, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  4 S=[2, 5, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 2, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  4 S=[3, 5, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z2^3       n=  8 |S|=  5 S=[1, 3, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  5 S=[2, 3, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  6 S=[1, 2, 3, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z2^3       n=  8 |S|=  4 S=[4, 5, 6, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Z2^3       n=  8 |S|=  5 S=[1, 4, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  5 S=[2, 4, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  6 S=[1, 2, 4, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z2^3       n=  8 |S|=  5 S=[3, 4, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z2^3       n=  8 |S|=  6 S=[1, 3, 4, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z2^3       n=  8 |S|=  6 S=[2, 3, 4, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z2^3       n=  8 |S|=  7 S=[1, 2, 3, 4, 5, 6, 7]  S-ring sizes [1, 7]  2-WL cells [1, 7]
  -- Z2^3: 92 S-ring-nondiscrete of 127 sets
  Z4xZ2      n=  8 |S|=  3 S=[1, 2, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  3 S=[1, 3, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  4 S=[2, 3, 6, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Z4xZ2      n=  8 |S|=  5 S=[1, 2, 3, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z4xZ2      n=  8 |S|=  4 S=[1, 2, 4, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  4 S=[1, 3, 4, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  5 S=[2, 3, 4, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z4xZ2      n=  8 |S|=  6 S=[1, 2, 3, 4, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z4xZ2      n=  8 |S|=  3 S=[2, 5, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  4 S=[1, 2, 5, 6]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Z4xZ2      n=  8 |S|=  3 S=[3, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  4 S=[1, 3, 5, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Z4xZ2      n=  8 |S|=  5 S=[2, 3, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z4xZ2      n=  8 |S|=  6 S=[1, 2, 3, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z4xZ2      n=  8 |S|=  4 S=[2, 4, 5, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  5 S=[1, 2, 4, 5, 6]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z4xZ2      n=  8 |S|=  4 S=[3, 4, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  Z4xZ2      n=  8 |S|=  5 S=[1, 3, 4, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Z4xZ2      n=  8 |S|=  6 S=[2, 3, 4, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Z4xZ2      n=  8 |S|=  7 S=[1, 2, 3, 4, 5, 6, 7]  S-ring sizes [1, 7]  2-WL cells [1, 7]
  -- Z4xZ2: 20 S-ring-nondiscrete of 31 sets
  D8         n=  8 |S|=  3 S=[1, 3, 4]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  4 S=[1, 2, 3, 4]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  3 S=[1, 3, 5]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  4 S=[1, 2, 3, 5]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  2 S=[4, 5]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  4 S=[1, 3, 4, 5]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  3 S=[2, 4, 5]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  5 S=[1, 2, 3, 4, 5]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  3 S=[1, 3, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  4 S=[1, 2, 3, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  4 S=[1, 3, 4, 6]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  D8         n=  8 |S|=  5 S=[1, 2, 3, 4, 6]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  D8         n=  8 |S|=  2 S=[5, 6]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  4 S=[1, 3, 5, 6]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  3 S=[2, 5, 6]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  5 S=[1, 2, 3, 5, 6]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  3 S=[4, 5, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  5 S=[1, 3, 4, 5, 6]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  D8         n=  8 |S|=  4 S=[2, 4, 5, 6]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  6 S=[1, 2, 3, 4, 5, 6]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  D8         n=  8 |S|=  3 S=[1, 3, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  4 S=[1, 2, 3, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  2 S=[4, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  4 S=[1, 3, 4, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  3 S=[2, 4, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  5 S=[1, 2, 3, 4, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  4 S=[1, 3, 5, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  D8         n=  8 |S|=  5 S=[1, 2, 3, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  D8         n=  8 |S|=  3 S=[4, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  5 S=[1, 3, 4, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  D8         n=  8 |S|=  4 S=[2, 4, 5, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  6 S=[1, 2, 3, 4, 5, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  D8         n=  8 |S|=  2 S=[6, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  4 S=[1, 3, 6, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  3 S=[2, 6, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  5 S=[1, 2, 3, 6, 7]  S-ring sizes [1, 1, 2, 2, 2]  2-WL cells [1, 1, 2, 2, 2]
  D8         n=  8 |S|=  3 S=[4, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  5 S=[1, 3, 4, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  D8         n=  8 |S|=  4 S=[2, 4, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  6 S=[1, 2, 3, 4, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  D8         n=  8 |S|=  3 S=[5, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  5 S=[1, 3, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  D8         n=  8 |S|=  4 S=[2, 5, 6, 7]  S-ring sizes [1, 1, 3, 3]  2-WL cells [1, 1, 3, 3]
  D8         n=  8 |S|=  6 S=[1, 2, 3, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  D8         n=  8 |S|=  4 S=[4, 5, 6, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  D8         n=  8 |S|=  6 S=[1, 3, 4, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  D8         n=  8 |S|=  5 S=[2, 4, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  D8         n=  8 |S|=  7 S=[1, 2, 3, 4, 5, 6, 7]  S-ring sizes [1, 7]  2-WL cells [1, 7]
  -- D8: 48 S-ring-nondiscrete of 63 sets
  Q8         n=  8 |S|=  4 S=[1, 3, 4, 6]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Q8         n=  8 |S|=  5 S=[1, 2, 3, 4, 6]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Q8         n=  8 |S|=  4 S=[1, 3, 5, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Q8         n=  8 |S|=  5 S=[1, 2, 3, 5, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Q8         n=  8 |S|=  4 S=[4, 5, 6, 7]  S-ring sizes [1, 3, 4]  2-WL cells [1, 3, 4]
  Q8         n=  8 |S|=  6 S=[1, 3, 4, 5, 6, 7]  S-ring sizes [1, 1, 6]  2-WL cells [1, 1, 6]
  Q8         n=  8 |S|=  5 S=[2, 4, 5, 6, 7]  S-ring sizes [1, 1, 2, 4]  2-WL cells [1, 1, 2, 4]
  Q8         n=  8 |S|=  7 S=[1, 2, 3, 4, 5, 6, 7]  S-ring sizes [1, 7]  2-WL cells [1, 7]
  -- Q8: 8 S-ring-nondiscrete of 15 sets
  Z9         n=  9 |S|=  2 S=[1, 8]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  2 S=[2, 7]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  4 S=[1, 2, 7, 8]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  4 S=[1, 3, 6, 8]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  4 S=[2, 3, 6, 7]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  6 S=[1, 2, 3, 6, 7, 8]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  2 S=[4, 5]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  4 S=[1, 4, 5, 8]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
  Z9         n=  9 |S|=  4 S=[2, 4, 5, 7]  S-ring sizes [1, 2, 2, 2, 2]  2-WL cells [1, 2, 2, 2, 2]
